,season,round,name,url,conditions
60,2004,5,32. Cyprus Rally 2004,/final/53-cyprus-rally-2004/,['gravel']
61,2004,6,51. Acropolis Rally of Greece 2004,/final/54-acropolis-rally-of-greece-2004/,['gravel']
62,2004,7,5. Rally of Turkey 2004,/final/55-rally-of-turkey-2004/,['gravel']
63,2004,8,24. CTI Movil Rally Argentina 2004,/final/56-cti-movil-rally-argentina-2004/,['gravel']
64,2004,9,54. Neste Rally Finland 2004,/final/57-neste-rally-finland-2004/,['gravel']
65,2004,10,23. OMV ADAC Rallye Deutschland 2004,/final/58-omv-adac-rallye-deutschland-2004/,['asphalt']
66,2004,11,Rally Japan 2004,/final/59-rally-japan-2004/,['gravel']
67,2004,12,60. Wales Rally GB 2004,/final/60-wales-rally-gb-2004/,['gravel']
68,2004,13,1. Supermag Rally Italia Sardinia 2004,/final/61-supermag-rally-italia-sardinia-2004/,['gravel']
69,2004,14,48. Tour de Corse - Rallye de France 2004,/final/62-tour-de-corse-rallye-de-france-2004/,['asphalt']
70,2004,15,40. Rally Catalunya - Costa Brava - Rally de España 2004,/final/63-rally-catalunya-costa-brava-rally-de-espana-2004/,"['asphalt', 'cancelled']"
71,2004,16,17. Telstra Rally Australia 2004,/final/64-telstra-rally-australia-2004/,['gravel']
72,2005,1,73. Rallye Automobile Monte-Carlo 2005,/final/33-rallye-automobile-monte-carlo-2005/,"['asphalt', 'snow']"
73,2005,2,54. Uddeholm Swedish Rally 2005,/final/34-uddeholm-swedish-rally-2005/,"['snow', 'ice']"
74,2005,3,2. Corona Rally Mexico 2005,/final/35-corona-rally-mexico-2005/,['gravel']
75,2005,4,36. Propecia Rally New Zealand 2005,/final/36-propecia-rally-new-zealand-2005/,['gravel']
76,2005,5,2. Supermag Rally Italia Sardinia 2005,/final/37-supermag-rally-italia-sardinia-2005/,['gravel']
77,2005,6,33. Cyprus Rally 2005,/final/38-cyprus-rally-2005/,['gravel']
78,2005,7,6. Rally of Turkey 2005,/final/39-rally-of-turkey-2005/,"['gravel', 'cancelled']"
79,2005,8,52. Acropolis Rally of Greece 2005,/final/40-acropolis-rally-of-greece-2005/,['gravel']
80,2005,9,25. Rally Argentina 2005,/final/41-rally-argentina-2005/,['gravel']
81,2005,10,55. Neste Rally Finland 2005,/final/42-neste-rally-finland-2005/,['gravel']
82,2005,11,24. OMV ADAC Rallye Deutschland 2005,/final/43-omv-adac-rallye-deutschland-2005/,['asphalt']
