,leg,start_number,start_time,url,entry_number,driver,codriver,car
126,3,12,2. 6. 07:06,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280782/,23,Rovanperä Kalle,Halttunen Jonne,Škoda Fabia Rally2 evo
127,3,13,2. 6. 07:08,/entryinfo/54466-vodafone-rally-de-portugal-2019/2260714/,24,Kopecký Jan,Dresler Pavel,Škoda Fabia Rally2 evo
128,3,14,2. 6. 07:10,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280784/,21,Østberg Mads,Eriksen Torstein,Citroën C3 R5
129,3,15,2. 6. 07:12,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274189/,22,Pieniążek Łukasz,Gerber Jakub,Ford Fiesta R5
130,3,16,2. 6. 07:14,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280800/,51,Loubet Pierre-Louis,Landais Vincent,Škoda Fabia R5
131,3,17,2. 6. 07:16,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281201/,56,Pietarinen Eerik,Raitanen Juhana,Škoda Fabia R5
132,3,18,2. 6. 07:18,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281194/,47,Bergkvist Emil,Barth Patrik,Ford Fiesta R5
133,3,19,2. 6. 07:20,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274077/,42,Katsuta Takamoto,Barritt Daniel,Ford Fiesta R5
134,3,20,2. 6. 07:22,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281197/,49,Solberg Henning,Minor Ilka,Škoda Fabia R5
135,3,21,2. 6. 07:24,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280786/,45,Gryazin Nikolay,Fedorov Yaroslav,Škoda Fabia R5
136,3,22,2. 6. 07:26,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280798/,41,Guerra jr. Benito,Zapata Ortega Jaime,Škoda Fabia R5
137,3,23,2. 6. 07:28,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274072/,55,Araújo Armindo,Ramalho Luís,Hyundai i20 R5
138,3,24,2. 6. 07:30,/entryinfo/54466-vodafone-rally-de-portugal-2019/2270368/,46,Heller Alberto,Díaz José Luis,Ford Fiesta R5
139,3,25,2. 6. 07:32,/entryinfo/54466-vodafone-rally-de-portugal-2019/2255841/,59,Magalhães Bruno,Magalhães Hugo,Hyundai i20 R5
140,3,26,2. 6. 07:34,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281195/,48,de Mevius Guillaume,Wydaeghe Martijn,Citroën C3 R5
141,3,27,2. 6. 07:36,/entryinfo/54466-vodafone-rally-de-portugal-2019/2275443/,53,Tempestini Simone,Itu Sergiu,Hyundai i20 R5
142,3,28,2. 6. 07:38,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274108/,61,Almeida Pedro,Almeida Nuno,Škoda Fabia R5
143,3,29,2. 6. 07:40,/entryinfo/54466-vodafone-rally-de-portugal-2019/2262872/,57,Fontes José Pedro,Magalhães Carlos,Citroën C3 R5
144,3,30,2. 6. 07:42,/entryinfo/54466-vodafone-rally-de-portugal-2019/2280799/,64,Yates Rhys,Morgan James,Škoda Fabia R5
145,3,31,2. 6. 07:44,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274115/,62,Dias António,Rodrigues da Silva Nuno,Škoda Fabia R5
146,3,32,2. 6. 07:46,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281209/,73,Dinkel Dominik,Fürst Christina,Hyundai i20 R5
147,3,33,2. 6. 07:48,/entryinfo/54466-vodafone-rally-de-portugal-2019/2281205/,63,Salvi Diogo,Babo Paulo,Škoda Fabia R5
148,3,34,2. 6. 07:50,/entryinfo/54466-vodafone-rally-de-portugal-2019/2262880/,50,"""Pedro""",Baldaccini Emanuele,Ford Fiesta R5
149,3,35,2. 6. 07:52,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268535/,92,Bell Ruairi,Garrod Darren,Peugeot 208 R2
150,3,36,2. 6. 07:54,/entryinfo/54466-vodafone-rally-de-portugal-2019/2262879/,79,Oldrati Enrico,Scattolin Simone,Ford Fiesta R2T19
151,3,37,2. 6. 07:56,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268531/,86,Linnamäe Georg,Korsia Volodymyr,Peugeot 208 R2
152,3,38,2. 6. 07:58,/entryinfo/54466-vodafone-rally-de-portugal-2019/2274062/,75,Ramos João Fernando,Janela José,Ford Fiesta R5
153,3,39,2. 6. 08:00,/entryinfo/54466-vodafone-rally-de-portugal-2019/2277016/,77,Miranda Hélder,Teixeira Rui,Renault Clio RS R3T
154,3,40,2. 6. 08:02,/entryinfo/54466-vodafone-rally-de-portugal-2019/2268534/,91,Tejpar Nabila,Freeman Max,Peugeot 208 R2
